"date_of_entrance","time_of_entrance","date_of_exit","time_of_exit","nfc_id","place_id"
"2021-07-15","17:04:50","2021-07-15","19:04:50","1033","428"
"2021-07-18","13:56:28","2021-07-18","15:56:28","1033","429"
"2020-08-26","13:52:27","2020-08-26","15:52:27","1037","430"
"2020-08-27","18:42:22","2020-08-27","20:42:22","1037","431"
"2020-08-28","19:36:14","2020-08-28","21:36:14","1037","432"
"2020-08-28","12:21:10","2020-08-28","14:21:10","1037","433"
"2020-08-27","18:29:29","2020-08-27","20:29:29","1037","434"
"2020-08-27","18:11:32","2020-08-27","20:11:32","1037","435"
"2020-08-25","09:44:36","2020-08-25","11:44:36","1037","436"
"2020-09-01","19:58:42","2020-09-01","21:58:42","1037","437"
"2020-08-26","19:32:14","2020-08-26","21:32:14","1037","438"
"2020-08-26","14:48:32","2020-08-26","16:48:32","1037","439"
"2021-02-11","10:31:10","2021-02-11","12:31:10","1039","430"
"2021-02-13","11:22:19","2021-02-13","13:22:19","1039","431"
"2021-02-10","18:40:28","2021-02-10","20:40:28","1039","432"
"2021-02-13","14:36:54","2021-02-13","16:36:54","1039","433"
"2021-02-12","10:48:09","2021-02-12","12:48:09","1039","434"
"2021-02-13","18:15:37","2021-02-13","20:15:37","1039","435"
"2021-02-11","11:04:28","2021-02-11","13:04:28","1039","436"
"2021-02-09","12:27:28","2021-02-09","14:27:28","1039","437"
"2021-02-11","14:40:22","2021-02-11","16:40:22","1039","438"
"2021-02-13","17:04:25","2021-02-13","19:04:25","1039","439"
"2021-03-02","16:56:14","2021-03-02","18:56:14","1040","426"
"2021-03-01","12:04:51","2021-03-01","14:04:51","1040","427"
"2021-03-02","16:00:48","2021-03-02","18:00:48","1040","428"
"2021-02-28","15:41:19","2021-02-28","17:41:19","1040","429"
"2020-08-14","12:08:44","2020-08-14","14:08:44","1040","430"
"2020-08-13","12:42:13","2020-08-13","14:42:13","1040","431"
"2020-08-17","11:40:04","2020-08-17","13:40:04","1040","432"
"2020-08-16","19:33:44","2020-08-16","21:33:44","1040","433"
"2020-08-13","20:57:33","2020-08-13","22:57:33","1040","434"
"2020-08-13","12:42:02","2020-08-13","14:42:02","1040","435"
"2020-08-13","18:17:08","2020-08-13","20:17:08","1040","436"
"2020-08-14","19:12:53","2020-08-14","21:12:53","1040","437"
"2020-08-17","10:14:56","2020-08-17","12:14:56","1040","438"
"2020-08-16","12:07:58","2020-08-16","14:07:58","1040","439"
"2021-03-02","11:22:19","2021-03-02","13:22:19","1048","401"
"2021-03-03","18:56:15","2021-03-03","20:56:15","1048","402"
"2021-03-02","16:18:44","2021-03-02","18:18:44","1048","403"
"2021-02-28","11:42:34","2021-02-28","13:42:34","1048","404"
"2021-02-28","21:34:39","2021-02-28","23:34:39","1048","405"
"2021-02-28","19:50:33","2021-02-28","21:50:33","1048","406"
"2021-03-04","10:07:43","2021-03-04","12:07:43","1048","407"
"2021-02-28","08:23:14","2021-02-28","10:23:14","1048","408"
"2021-03-04","19:23:33","2021-03-04","21:23:33","1048","409"
"2021-03-02","08:49:03","2021-03-02","10:49:03","1048","410"
"2021-09-09","11:11:47","2021-09-09","13:11:47","1050","401"
"2021-09-12","15:50:07","2021-09-12","17:50:07","1050","402"
"2021-09-10","15:50:36","2021-09-10","17:50:36","1050","403"
"2021-09-09","12:44:01","2021-09-09","14:44:01","1050","404"
"2021-09-12","16:47:00","2021-09-12","18:47:00","1050","405"
"2021-09-10","11:17:39","2021-09-10","13:17:39","1050","406"
"2021-09-12","20:21:57","2021-09-12","22:21:57","1050","407"
"2021-09-10","12:17:17","2021-09-10","14:17:17","1050","408"
"2021-09-10","20:09:47","2021-09-10","22:09:47","1050","409"
"2021-09-11","13:54:53","2021-09-11","15:54:53","1050","410"
"2020-11-05","20:32:04","2020-11-05","22:32:04","1053","430"
"2020-11-07","11:22:33","2020-11-07","13:22:33","1053","431"
"2020-11-08","15:41:28","2020-11-08","17:41:28","1053","432"
"2020-11-07","15:56:05","2020-11-07","17:56:05","1053","433"
"2020-11-05","12:51:04","2020-11-05","14:51:04","1053","434"
"2020-11-05","13:39:41","2020-11-05","15:39:41","1053","435"
"2020-11-04","18:13:35","2020-11-04","20:13:35","1053","436"
"2020-11-07","10:29:19","2020-11-07","12:29:19","1053","437"
"2020-11-07","11:35:13","2020-11-07","13:35:13","1053","438"
"2020-11-04","16:27:34","2020-11-04","18:27:34","1053","439"
"2020-07-24","19:55:56","2020-07-24","21:55:56","1055","401"
"2020-07-23","16:46:03","2020-07-23","18:46:03","1055","402"
"2020-07-22","16:25:37","2020-07-22","18:25:37","1055","403"
"2020-07-22","14:48:15","2020-07-22","16:48:15","1055","404"
"2020-07-21","19:22:44","2020-07-21","21:22:44","1055","405"
"2020-07-21","13:21:16","2020-07-21","15:21:16","1055","406"
"2020-07-22","19:57:40","2020-07-22","21:57:40","1055","407"
"2020-07-21","17:09:16","2020-07-21","19:09:16","1055","408"
"2020-07-21","12:43:08","2020-07-21","14:43:08","1055","409"
"2020-07-23","11:13:56","2020-07-23","13:13:56","1055","410"
"2020-05-27","09:35:41","2020-05-27","11:35:41","1056","401"
"2020-05-24","18:12:19","2020-05-24","20:12:19","1056","402"
"2020-05-27","19:20:53","2020-05-27","21:20:53","1056","403"
"2020-05-25","19:05:05","2020-05-25","21:05:05","1056","404"
"2020-05-25","21:07:34","2020-05-25","23:07:34","1056","405"
"2020-05-24","14:25:11","2020-05-24","16:25:11","1056","406"
"2020-05-25","12:10:14","2020-05-25","14:10:14","1056","407"
"2020-05-28","09:58:50","2020-05-28","11:58:50","1056","408"
"2020-05-26","20:47:01","2020-05-26","22:47:01","1056","409"
"2020-05-27","12:29:15","2020-05-27","14:29:15","1056","410"
"2021-11-17","16:48:47","2021-11-17","18:48:47","1056","430"
"2021-11-17","15:16:13","2021-11-17","17:16:13","1056","431"
"2021-11-14","19:07:03","2021-11-14","21:07:03","1056","432"
"2021-11-17","14:01:45","2021-11-17","16:01:45","1056","433"
"2021-11-18","10:34:45","2021-11-18","12:34:45","1056","434"
"2021-11-14","09:43:01","2021-11-14","11:43:01","1056","435"
"2021-11-17","12:18:15","2021-11-17","14:18:15","1056","436"
"2021-11-14","11:39:41","2021-11-14","13:39:41","1056","437"
"2021-11-18","14:53:40","2021-11-18","16:53:40","1056","438"
"2021-11-16","12:32:04","2021-11-16","14:32:04","1056","439"
"2021-05-23","09:58:36","2021-05-23","11:58:36","1058","401"
"2021-05-24","14:31:29","2021-05-24","16:31:29","1058","402"
"2021-05-21","13:21:37","2021-05-21","15:21:37","1058","403"
"2021-05-22","11:07:10","2021-05-22","13:07:10","1058","404"
"2021-05-25","13:47:40","2021-05-25","15:47:40","1058","405"
"2021-05-23","15:56:46","2021-05-23","17:56:46","1058","406"
"2021-05-23","08:11:46","2021-05-23","10:11:46","1058","407"
"2021-05-24","08:14:29","2021-05-24","10:14:29","1058","408"
"2021-05-25","20:52:09","2021-05-25","22:52:09","1058","409"
"2021-05-25","12:26:48","2021-05-25","14:26:48","1058","410"
"2021-09-10","14:52:53","2021-09-10","16:52:53","1058","416"
"2021-09-07","14:13:49","2021-09-07","16:13:49","1058","417"
"2021-09-08","10:55:32","2021-09-08","12:55:32","1058","418"
"2021-09-11","13:11:48","2021-09-11","15:11:48","1058","419"
"2021-09-09","16:01:49","2021-09-09","18:01:49","1058","420"
"2021-09-11","10:21:22","2021-09-11","12:21:22","1058","421"
"2021-09-09","15:30:01","2021-09-09","17:30:01","1058","422"
"2021-09-09","10:32:47","2021-09-09","12:32:47","1058","423"
"2021-09-07","08:35:23","2021-09-07","10:35:23","1058","424"
"2021-09-07","09:26:06","2021-09-07","11:26:06","1058","425"
"2020-05-10","19:50:38","2020-05-10","21:50:38","1058","430"
"2020-05-12","11:30:12","2020-05-12","13:30:12","1058","431"
"2020-05-11","15:18:56","2020-05-11","17:18:56","1058","432"
"2020-05-10","11:14:31","2020-05-10","13:14:31","1058","433"
"2020-05-11","18:28:08","2020-05-11","20:28:08","1058","434"
"2020-05-10","08:14:18","2020-05-10","10:14:18","1058","435"
"2020-05-10","18:24:05","2020-05-10","20:24:05","1058","436"
"2020-05-10","19:36:14","2020-05-10","21:36:14","1058","437"
"2020-05-12","19:50:57","2020-05-12","21:50:57","1058","438"
"2020-05-10","20:20:33","2020-05-10","22:20:33","1058","439"
"2020-08-26","18:58:14","2020-08-26","20:58:14","1059","401"
"2020-08-27","18:20:01","2020-08-27","20:20:01","1059","402"
"2020-08-27","08:40:13","2020-08-27","10:40:13","1059","403"
"2020-08-26","15:50:49","2020-08-26","17:50:49","1059","404"
"2020-08-25","20:04:16","2020-08-25","22:04:16","1059","405"
"2020-08-26","18:28:18","2020-08-26","20:28:18","1059","406"
"2020-08-26","17:17:09","2020-08-26","19:17:09","1059","407"
"2020-09-01","08:56:33","2020-09-01","10:56:33","1059","408"
"2020-08-25","17:28:12","2020-08-25","19:28:12","1059","409"
"2020-08-28","11:20:07","2020-08-28","13:20:07","1059","410"
"2021-07-14","21:37:01","2021-07-14","23:37:01","1059","430"
"2021-07-13","11:32:55","2021-07-13","13:32:55","1059","431"
"2021-07-17","13:54:32","2021-07-17","15:54:32","1059","432"
"2021-07-13","20:36:16","2021-07-13","22:36:16","1059","433"
"2021-07-14","18:47:53","2021-07-14","20:47:53","1059","434"
"2021-07-17","21:07:55","2021-07-17","23:07:55","1059","435"
"2021-07-15","17:55:41","2021-07-15","19:55:41","1059","436"
"2021-07-17","16:19:46","2021-07-17","18:19:46","1059","437"
"2021-07-16","10:11:05","2021-07-16","12:11:05","1059","438"
"2021-07-13","09:02:48","2021-07-13","11:02:48","1059","439"
"2021-03-27","19:20:28","2021-03-27","21:20:28","1060","401"
"2021-03-28","15:47:35","2021-03-28","17:47:35","1060","402"
"2021-03-28","20:19:07","2021-03-28","22:19:07","1060","403"
"2021-03-24","20:24:57","2021-03-24","22:24:57","1060","404"
"2021-03-28","17:51:19","2021-03-28","19:51:19","1060","405"
"2021-03-24","19:47:35","2021-03-24","21:47:35","1060","406"
"2021-03-26","19:05:04","2021-03-26","21:05:04","1060","407"
"2021-03-24","18:28:34","2021-03-24","20:28:34","1060","408"
"2021-03-26","21:03:47","2021-03-26","23:03:47","1060","409"
"2021-03-26","16:04:08","2021-03-26","18:04:08","1060","410"
"2020-05-26","12:04:15","2020-05-26","14:04:15","1060","430"
"2020-05-27","17:07:27","2020-05-27","19:07:27","1060","431"
"2020-06-01","09:37:17","2020-06-01","11:37:17","1060","432"
"2020-05-27","21:06:25","2020-05-27","23:06:25","1060","433"
"2020-05-27","12:14:42","2020-05-27","14:14:42","1060","434"
"2020-05-28","18:23:08","2020-05-28","20:23:08","1060","435"
"2020-05-26","10:15:55","2020-05-26","12:15:55","1060","436"
"2020-05-26","11:56:48","2020-05-26","13:56:48","1060","437"
"2020-05-25","11:53:45","2020-05-25","13:53:45","1060","438"
"2020-05-26","09:50:15","2020-05-26","11:50:15","1060","439"
"2020-11-17","21:42:34","2020-11-17","23:42:34","1063","430"
"2020-11-18","21:38:24","2020-11-18","23:38:24","1063","431"
"2020-11-18","21:40:13","2020-11-18","23:40:13","1063","432"
"2020-11-19","10:18:37","2020-11-19","12:18:37","1063","433"
"2020-11-18","20:34:52","2020-11-18","22:34:52","1063","434"
"2020-11-21","19:31:22","2020-11-21","21:31:22","1063","435"
"2020-11-19","09:35:58","2020-11-19","11:35:58","1063","436"
"2020-11-19","13:03:13","2020-11-19","15:03:13","1063","437"
"2020-11-19","16:26:54","2020-11-19","18:26:54","1063","438"
"2020-11-19","08:57:51","2020-11-19","10:57:51","1063","439"
"2020-01-28","13:53:40","2020-01-28","15:53:40","1065","426"
"2020-01-28","09:26:26","2020-01-28","11:26:26","1065","427"
"2020-02-01","11:21:09","2020-02-01","13:21:09","1065","428"
"2020-01-27","21:35:04","2020-01-27","23:35:04","1065","429"
"2021-10-04","09:08:14","2021-10-04","11:08:14","1065","430"
"2021-10-05","14:14:32","2021-10-05","16:14:32","1065","431"
"2021-10-04","18:15:23","2021-10-04","20:15:23","1065","432"
"2021-10-06","13:20:15","2021-10-06","15:20:15","1065","433"
"2021-10-02","10:53:50","2021-10-02","12:53:50","1065","434"
"2021-10-06","21:25:37","2021-10-06","23:25:37","1065","435"
"2021-10-05","10:41:58","2021-10-05","12:41:58","1065","436"
"2021-10-02","12:23:43","2021-10-02","14:23:43","1065","437"
"2021-10-03","20:42:07","2021-10-03","22:42:07","1065","438"
"2021-10-03","19:51:36","2021-10-03","21:51:36","1065","439"
"2021-08-06","14:42:05","2021-08-06","16:42:05","1066","401"
"2021-08-05","14:19:33","2021-08-05","16:19:33","1066","402"
"2021-08-05","18:18:21","2021-08-05","20:18:21","1066","403"
"2021-08-04","17:39:45","2021-08-04","19:39:45","1066","404"
"2021-08-06","21:37:15","2021-08-06","23:37:15","1066","405"
"2021-08-04","17:49:01","2021-08-04","19:49:01","1066","406"
"2021-08-03","14:43:54","2021-08-03","16:43:54","1066","407"
"2021-08-04","19:14:27","2021-08-04","21:14:27","1066","408"
"2021-08-07","16:27:19","2021-08-07","18:27:19","1066","409"
"2021-08-03","13:48:02","2021-08-03","15:48:02","1066","410"
"2020-09-21","21:33:10","2020-09-21","23:33:10","1067","416"
"2020-09-25","19:56:42","2020-09-25","21:56:42","1067","417"
"2020-09-23","17:09:16","2020-09-23","19:09:16","1067","418"
"2020-09-23","13:14:25","2020-09-23","15:14:25","1067","419"
"2020-09-25","17:29:03","2020-09-25","19:29:03","1067","420"
"2020-09-23","14:46:52","2020-09-23","16:46:52","1067","421"
"2020-09-21","10:42:54","2020-09-21","12:42:54","1067","422"
"2020-09-25","14:22:18","2020-09-25","16:22:18","1067","423"
"2020-09-21","17:21:56","2020-09-21","19:21:56","1067","424"
"2020-09-25","13:28:00","2020-09-25","15:28:00","1067","425"
"2020-09-26","12:25:25","2020-09-26","14:25:25","1067","430"
"2020-10-02","20:10:56","2020-10-02","22:10:56","1067","431"
"2020-10-02","08:52:26","2020-10-02","10:52:26","1067","432"
"2020-09-27","21:32:18","2020-09-27","23:32:18","1067","433"
"2020-09-26","11:39:21","2020-09-26","13:39:21","1067","434"
"2020-10-02","16:41:28","2020-10-02","18:41:28","1067","435"
"2020-09-28","13:30:27","2020-09-28","15:30:27","1067","436"
"2020-10-01","14:49:58","2020-10-01","16:49:58","1067","437"
"2020-09-26","17:13:43","2020-09-26","19:13:43","1067","438"
"2020-10-02","14:26:45","2020-10-02","16:26:45","1067","439"
"2021-11-17","12:40:01","2021-11-17","14:40:01","1069","430"
"2021-11-19","08:49:55","2021-11-19","10:49:55","1069","431"
"2021-11-18","21:00:14","2021-11-18","23:00:14","1069","432"
"2021-11-17","19:15:52","2021-11-17","21:15:52","1069","433"
"2021-11-19","20:09:31","2021-11-19","22:09:31","1069","434"
"2021-11-19","20:11:05","2021-11-19","22:11:05","1069","435"
"2021-11-18","18:36:53","2021-11-18","20:36:53","1069","436"
"2021-11-16","12:54:38","2021-11-16","14:54:38","1069","437"
"2021-11-18","10:38:47","2021-11-18","12:38:47","1069","438"
"2021-11-17","19:22:33","2021-11-17","21:22:33","1069","439"
"2021-08-12","18:00:08","2021-08-12","20:00:08","1070","401"
"2021-08-11","17:57:32","2021-08-11","19:57:32","1070","402"
"2021-08-11","13:33:29","2021-08-11","15:33:29","1070","403"
"2021-08-09","08:08:58","2021-08-09","10:08:58","1070","404"
"2021-08-11","10:30:21","2021-08-11","12:30:21","1070","405"
"2021-08-11","21:42:23","2021-08-11","23:42:23","1070","406"
"2021-08-10","14:04:51","2021-08-10","16:04:51","1070","407"
"2021-08-11","10:18:04","2021-08-11","12:18:04","1070","408"
"2021-08-11","16:13:12","2021-08-11","18:13:12","1070","409"
"2021-08-08","18:22:15","2021-08-08","20:22:15","1070","410"
"2021-11-11","17:40:41","2021-11-11","19:40:41","1072","416"
"2021-11-12","10:08:41","2021-11-12","12:08:41","1072","417"
"2021-11-08","21:08:43","2021-11-08","23:08:43","1072","418"
"2021-11-11","16:38:33","2021-11-11","18:38:33","1072","419"
"2021-11-11","17:29:07","2021-11-11","19:29:07","1072","420"
"2021-11-09","10:11:09","2021-11-09","12:11:09","1072","421"
"2021-11-12","15:31:41","2021-11-12","17:31:41","1072","422"
"2021-11-08","15:21:01","2021-11-08","17:21:01","1072","423"
"2021-11-11","16:16:05","2021-11-11","18:16:05","1072","424"
"2021-11-08","08:19:08","2021-11-08","10:19:08","1072","425"
"2021-04-03","15:29:09","2021-04-03","17:29:09","1072","426"
"2021-04-05","15:06:16","2021-04-05","17:06:16","1072","427"
"2021-04-04","19:24:04","2021-04-04","21:24:04","1072","428"
"2021-04-07","17:06:46","2021-04-07","19:06:46","1072","429"
"2020-09-11","09:26:14","2020-09-11","11:26:14","1074","430"
"2020-09-12","11:17:53","2020-09-12","13:17:53","1074","431"
"2020-09-13","11:44:52","2020-09-13","13:44:52","1074","432"
"2020-09-10","15:42:16","2020-09-10","17:42:16","1074","433"
"2020-09-12","17:06:18","2020-09-12","19:06:18","1074","434"
"2020-09-10","20:51:04","2020-09-10","22:51:04","1074","435"
"2020-09-09","11:51:47","2020-09-09","13:51:47","1074","436"
"2020-09-09","15:46:31","2020-09-09","17:46:31","1074","437"
"2020-09-09","18:34:38","2020-09-09","20:34:38","1074","438"
"2020-09-10","09:13:37","2020-09-10","11:13:37","1074","439"
"2020-01-06","15:25:43","2020-01-06","17:25:43","1075","416"
