"date_of_start","time_of_start","date_of_end","time_of_end","nfc_id","place_id"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","421"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","422"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","423"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","424"
"2021-04-16","08:27:51","2021-04-22","08:27:51","1023","425"
"2021-04-06","19:39:34","2021-04-12","19:39:34","1023","440"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","430"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","431"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","432"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","433"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","434"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","435"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","436"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","437"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","438"
"2021-07-04","10:42:00","2021-07-10","10:42:00","1024","439"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","44"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","401"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","402"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","403"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","404"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","405"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","406"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","407"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","408"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","409"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","410"
"2020-08-05","10:00:58","2020-08-11","10:00:58","1026","440"
"2020-01-16","09:35:48","2020-01-22","09:35:48","1027","426"
"2020-01-16","09:35:48","2020-01-22","09:35:48","1027","427"
"2020-01-16","09:35:48","2020-01-22","09:35:48","1027","428"
"2020-01-16","09:35:48","2020-01-22","09:35:48","1027","429"
"2021-08-01","14:33:04","2021-08-07","14:33:04","1031","426"
"2021-08-01","14:33:04","2021-08-07","14:33:04","1031","427"
"2021-08-01","14:33:04","2021-08-07","14:33:04","1031","428"
"2021-08-01","14:33:04","2021-08-07","14:33:04","1031","429"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","430"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","431"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","432"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","433"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","434"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","435"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","436"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","437"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","438"
"2021-01-10","09:25:08","2021-01-16","09:25:08","1031","439"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","430"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","431"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","432"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","433"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","434"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","435"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","436"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","437"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","438"
"2020-09-15","13:53:51","2020-09-21","13:53:51","1032","439"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","217"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","401"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","402"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","403"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","404"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","405"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","406"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","407"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","408"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","409"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","410"
"2021-07-13","15:50:10","2021-07-19","15:50:10","1033","426"
"2021-07-13","15:50:10","2021-07-19","15:50:10","1033","427"
"2021-07-13","15:50:10","2021-07-19","15:50:10","1033","428"
"2021-07-13","15:50:10","2021-07-19","15:50:10","1033","429"
"2021-02-03","19:37:15","2021-02-09","19:37:15","1033","440"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","430"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","431"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","432"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","433"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","434"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","435"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","436"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","437"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","438"
"2020-08-24","09:06:35","2020-09-02","09:06:35","1037","439"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","430"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","431"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","432"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","433"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","434"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","435"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","436"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","437"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","438"
"2021-02-08","09:33:21","2021-02-14","09:33:21","1039","439"
"2021-02-27","14:10:12","2021-03-05","14:10:12","1040","426"
"2021-02-27","14:10:12","2021-03-05","14:10:12","1040","427"
"2021-02-27","14:10:12","2021-03-05","14:10:12","1040","428"
"2021-02-27","14:10:12","2021-03-05","14:10:12","1040","429"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","430"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","431"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","432"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","433"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","434"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","435"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","436"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","437"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","438"
"2020-08-12","13:40:12","2020-08-18","13:40:12","1040","439"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","253"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","401"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","402"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","403"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","404"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","405"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","406"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","407"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","408"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","409"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","410"
"2021-02-27","20:10:55","2021-03-05","20:10:55","1048","440"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","58"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","401"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","402"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","403"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","404"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","405"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","406"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","407"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","408"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","409"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","410"
"2021-09-08","13:49:50","2021-09-14","13:49:50","1050","440"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","430"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","431"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","432"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","433"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","434"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","435"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","436"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","437"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","438"
"2020-11-03","12:54:04","2020-11-09","12:54:04","1053","439"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","185"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","401"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","402"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","403"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","404"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","405"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","406"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","407"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","408"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","409"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","410"
"2020-07-19","13:50:48","2020-07-25","13:50:48","1055","440"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","397"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","401"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","402"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","403"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","404"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","405"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","406"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","407"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","408"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","409"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","410"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","430"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","431"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","432"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","433"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","434"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","435"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","436"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","437"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","438"
"2021-11-13","21:18:54","2021-11-19","21:18:54","1056","439"
"2020-05-23","17:57:31","2020-06-01","17:57:31","1056","440"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","94"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","401"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","402"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","403"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","404"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","405"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","406"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","407"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","408"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","409"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","410"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","416"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","417"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","418"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","419"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","420"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","421"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","422"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","423"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","424"
"2021-09-06","16:48:00","2021-09-12","16:48:00","1058","425"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","430"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","431"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","432"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","433"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","434"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","435"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","436"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","437"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","438"
"2020-05-07","11:29:58","2020-05-13","11:29:58","1058","439"
"2021-05-20","21:49:05","2021-05-26","21:49:05","1058","440"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","83"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","401"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","402"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","403"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","404"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","405"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","406"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","407"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","408"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","409"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","410"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","430"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","431"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","432"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","433"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","434"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","435"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","436"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","437"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","438"
"2021-07-12","16:02:17","2021-07-18","16:02:17","1059","439"
"2020-08-24","09:40:14","2020-09-02","09:40:14","1059","440"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","231"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","401"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","402"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","403"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","404"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","405"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","406"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","407"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","408"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","409"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","410"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","430"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","431"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","432"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","433"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","434"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","435"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","436"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","437"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","438"
"2020-05-24","14:50:32","2020-06-02","14:50:32","1060","439"
"2021-03-23","12:58:30","2021-04-01","12:58:30","1060","440"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","430"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","431"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","432"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","433"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","434"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","435"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","436"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","437"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","438"
"2020-11-16","20:54:41","2020-11-22","20:54:41","1063","439"
"2020-01-26","14:48:55","2020-02-04","14:48:55","1065","426"
"2020-01-26","14:48:55","2020-02-04","14:48:55","1065","427"
"2020-01-26","14:48:55","2020-02-04","14:48:55","1065","428"
"2020-01-26","14:48:55","2020-02-04","14:48:55","1065","429"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","430"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","431"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","432"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","433"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","434"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","435"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","436"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","437"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","438"
"2021-10-01","11:08:34","2021-10-07","11:08:34","1065","439"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","89"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","401"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","402"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","403"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","404"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","405"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","406"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","407"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","408"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","409"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","410"
"2021-08-02","20:13:39","2021-08-08","20:13:39","1066","440"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","416"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","417"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","418"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","419"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","420"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","421"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","422"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","423"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","424"
"2020-09-20","08:13:27","2020-09-26","08:13:27","1067","425"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","430"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","431"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","432"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","433"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","434"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","435"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","436"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","437"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","438"
"2020-09-25","19:29:24","2020-10-03","19:29:24","1067","439"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","430"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","431"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","432"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","433"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","434"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","435"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","436"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","437"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","438"
"2021-11-14","21:15:18","2021-11-20","21:15:18","1069","439"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","131"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","401"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","402"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","403"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","404"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","405"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","406"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","407"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","408"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","409"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","410"
"2021-08-07","08:17:18","2021-08-13","08:17:18","1070","440"
"2021-11-07","19:02:08","2021-11-13","19:02:08","1072","416"
"2021-11-07","19:02:08","2021-11-13","19:02:08","1072","417"
