"date_of_charge","time_of_charge","amount","description_of_charge"
"2020-02-03","20:09:38","129","conference room"
"2020-02-03","23:40:07","155","conference room"
"2020-02-04","16:33:39","174","bar/restaurant"
"2020-02-04","17:18:20","166","gym"
"2020-02-04","21:38:36","109","bar/restaurant"
"2020-02-04","22:25:13","169","gym"
"2020-02-05","10:35:35","189","bar/restaurant"
"2020-02-05","11:09:37","150","conference room"
"2020-02-05","11:29:27","180","conference room"
"2020-02-05","11:35:41","169","conference room"
"2020-02-05","18:00:31","154","bar/restaurant"
"2020-02-05","23:54:03","196","gym"
"2020-02-06","11:07:14","126","conference room"
"2020-02-06","13:07:24","154","conference room"
"2020-02-06","14:02:47","155","bar/restaurant"
"2020-02-06","14:06:00","118","bar/restaurant"
"2020-02-07","11:19:10","108","bar/restaurant"
"2020-02-07","18:29:28","189","gym"
"2020-02-08","14:21:18","117","conference room"
"2020-02-08","15:34:46","182","conference room"
"2020-02-08","19:21:09","191","bar/restaurant"
"2020-02-08","22:31:15","177","conference room"
"2020-02-09","10:39:24","126","bar/restaurant"
"2020-02-09","10:50:41","166","conference room"
"2020-02-09","15:06:48","119","conference room"
"2020-02-09","17:04:05","124","bar/restaurant"
"2020-02-09","18:32:07","151","conference room"
"2020-02-09","19:58:15","166","conference room"
"2020-02-09","21:05:39","122","conference room"
"2020-02-09","23:43:00","109","conference room"
"2020-02-10","10:04:52","182","sauna"
"2020-02-10","11:36:33","131","conference room"
"2020-02-10","11:41:11","104","bar/restaurant"
"2020-02-10","12:31:22","144","bar/restaurant"
"2020-02-10","13:55:45","162","bar/restaurant"
"2020-02-10","14:19:12","116","bar/restaurant"
"2020-02-10","14:19:29","177","conference room"
"2020-02-10","15:27:02","117","conference room"
"2020-02-10","15:47:38","172","bar/restaurant"
"2020-02-10","17:17:41","119","bar/restaurant"
"2020-02-10","19:21:25","138","bar/restaurant"
"2020-02-10","20:44:46","114","sauna"
"2020-02-11","11:35:47","122","sauna"
"2020-02-11","12:20:38","153","conference room"
"2020-02-11","12:52:47","196","bar/restaurant"
"2020-02-11","14:03:14","197","bar/restaurant"
"2020-02-11","16:23:48","130","conference room"
"2020-02-11","17:18:25","129","bar/restaurant"
"2020-02-11","19:12:21","146","conference room"
"2020-02-11","20:09:05","174","conference room"
"2020-02-12","10:38:20","160","sauna"
"2020-02-12","13:10:42","198","bar/restaurant"
"2020-02-12","14:08:56","158","conference room"
"2020-02-12","14:48:08","181","bar/restaurant"
"2020-02-12","15:22:36","177","conference room"
"2020-02-12","15:54:24","161","conference room"
"2020-02-12","17:01:00","107","bar/restaurant"
"2020-02-12","17:27:41","126","bar/restaurant"
"2020-02-12","22:48:05","169","bar/restaurant"
"2020-02-12","23:14:11","148","conference room"
"2020-02-13","12:48:44","103","sauna"
"2020-02-13","12:52:16","164","gym"
"2020-02-13","12:56:35","175","bar/restaurant"
"2020-02-13","13:19:28","198","bar/restaurant"
"2020-02-13","14:53:49","103","bar/restaurant"
"2020-02-13","15:36:27","135","sauna"
"2020-02-13","16:47:12","161","sauna"
"2020-02-13","17:10:57","113","sauna"
"2020-02-13","17:12:27","138","bar/restaurant"
"2020-02-13","19:02:20","118","bar/restaurant"
"2020-02-13","20:01:17","108","bar/restaurant"
"2020-02-13","21:55:49","106","gym"
"2020-02-13","21:58:25","141","sauna"
"2020-02-14","14:32:06","192","sauna"
"2020-02-14","14:40:12","107","gym"
"2020-02-14","18:01:10","191","bar/restaurant"
"2020-02-14","19:46:10","129","sauna"
"2020-02-14","21:04:48","154","sauna"
"2020-02-14","21:09:52","108","sauna"
"2020-02-14","22:51:17","125","sauna"
"2020-02-15","11:37:03","128","gym"
"2020-02-15","12:31:54","153","bar/restaurant"
"2020-02-15","14:14:53","158","sauna"
"2020-02-15","15:15:32","148","gym"
"2020-02-15","16:01:32","110","sauna"
"2020-02-15","20:01:23","106","bar/restaurant"
"2020-02-15","21:37:27","125","bar/restaurant"
"2020-02-15","22:49:32","159","bar/restaurant"
"2020-02-16","10:33:15","138","sauna"
"2020-02-16","12:48:16","186","sauna"
"2020-02-16","14:00:56","150","gym"
"2020-02-16","16:10:41","119","bar/restaurant"
"2020-02-16","18:14:32","106","sauna"
"2020-02-16","18:56:45","124","gym"
"2020-02-16","20:37:48","130","gym"
"2020-02-16","21:21:00","153","sauna"
"2020-02-16","22:03:19","191","gym"
"2020-02-17","11:31:37","122","gym"
"2020-02-17","23:54:16","192","gym"
"2020-02-18","11:28:44","186","gym"
"2020-02-18","17:53:18","139","gym"
"2020-02-18","18:36:35","159","sauna"
"2020-02-18","19:04:03","130","gym"
"2020-02-18","19:31:49","128","sauna"
"2020-02-18","19:53:13","141","sauna"
"2020-02-18","20:44:45","129","bar/restaurant"
"2020-02-19","12:36:18","147","gym"
"2020-02-19","17:06:52","160","sauna"
"2020-02-19","17:10:22","111","gym"
"2020-02-19","19:09:51","181","bar/restaurant"
"2020-02-19","20:12:10","181","sauna"
"2020-02-19","21:53:48","166","gym"
"2020-02-19","23:08:43","186","sauna"
"2020-02-20","10:21:23","158","bar/restaurant"
"2020-02-20","15:29:26","100","sauna"
"2020-02-20","17:54:16","150","bar/restaurant"
"2020-02-20","18:06:20","157","bar/restaurant"
"2020-02-20","18:18:01","133","sauna"
"2020-02-20","18:18:12","150","bar/restaurant"
"2020-02-20","18:30:48","199","bar/restaurant"
"2020-02-20","19:23:25","100","sauna"
"2020-02-20","22:33:06","170","bar/restaurant"
"2020-02-20","23:08:36","115","sauna"
"2020-02-21","11:27:25","138","sauna"
"2020-02-21","11:41:32","106","gym"
"2020-02-21","12:09:15","147","sauna"
"2020-02-21","12:09:26","147","sauna"
"2020-02-21","12:34:45","149","bar/restaurant"
"2020-02-21","12:56:07","152","gym"
"2020-02-21","13:15:12","170","bar/restaurant"
"2020-02-21","14:05:38","190","sauna"
"2020-02-21","15:43:37","184","sauna"
"2020-02-21","15:44:07","199","bar/restaurant"
"2020-02-21","16:28:36","182","bar/restaurant"
"2020-02-21","17:13:24","114","sauna"
"2020-02-21","18:01:06","177","sauna"
"2020-02-21","18:57:42","189","sauna"
"2020-02-21","19:05:43","106","sauna"
"2020-02-21","19:54:22","142","bar/restaurant"
"2020-02-21","22:13:14","138","sauna"
"2020-02-22","11:49:09","177","conference room"
"2020-02-22","12:19:17","116","sauna"
"2020-02-22","12:57:48","156","gym"
"2020-02-22","14:16:50","177","sauna"
"2020-02-22","15:21:10","122","sauna"
"2020-02-22","16:57:16","167","sauna"
"2020-02-22","17:11:46","115","conference room"
"2020-02-22","18:22:42","102","sauna"
"2020-02-22","19:36:39","175","bar/restaurant"
"2020-02-22","20:10:02","191","bar/restaurant"
"2020-02-22","20:34:01","111","conference room"
"2020-02-22","20:57:03","120","bar/restaurant"
"2020-02-22","23:17:56","181","conference room"
"2020-02-23","13:07:32","173","sauna"
"2020-02-23","13:20:31","189","bar/restaurant"
"2020-02-23","14:46:02","130","conference room"
"2020-02-23","17:14:52","167","gym"
"2020-02-23","18:03:41","195","sauna"
"2020-02-23","18:14:42","172","conference room"
"2020-02-23","18:21:03","159","bar/restaurant"
"2020-02-23","20:19:31","162","gym"
"2020-02-23","21:35:53","196","sauna"
"2020-02-23","22:33:20","153","sauna"
"2020-02-23","23:10:23","175","conference room"
"2020-02-24","10:24:36","164","conference room"
"2020-02-24","10:42:11","168","conference room"
"2020-02-24","10:43:49","109","conference room"
"2020-02-24","11:07:52","193","conference room"
"2020-02-24","11:20:31","152","sauna"
"2020-02-24","11:25:48","139","sauna"
"2020-02-24","12:16:08","119","sauna"
"2020-02-24","14:17:31","104","bar/restaurant"
"2020-02-24","15:50:15","165","conference room"
"2020-02-24","16:15:06","197","conference room"
"2020-02-24","18:03:07","114","conference room"
"2020-02-24","18:52:52","174","sauna"
"2020-02-24","19:33:30","145","conference room"
"2020-02-24","19:50:23","161","conference room"
"2020-02-24","21:50:49","156","bar/restaurant"
"2020-02-24","22:07:12","104","sauna"
"2020-02-24","23:18:12","108","conference room"
"2020-02-25","10:36:36","100","conference room"
"2020-02-25","12:12:29","147","conference room"
"2020-02-25","13:00:09","192","conference room"
"2020-02-25","13:57:48","189","sauna"
"2020-02-25","14:01:49","103","conference room"
"2020-02-25","14:28:24","193","gym"
"2020-02-25","16:38:29","160","conference room"
"2020-02-25","17:26:42","172","conference room"
"2020-02-25","18:01:39","151","conference room"
"2020-02-25","18:40:35","132","conference room"
"2020-02-25","19:38:41","180","conference room"
"2020-02-25","19:40:57","173","sauna"
"2020-02-25","20:04:35","199","conference room"
"2020-02-26","11:21:36","128","conference room"
"2020-02-26","13:34:09","149","conference room"
"2020-02-26","16:19:21","191","conference room"
"2020-02-26","16:37:48","174","gym"
"2020-02-26","17:08:36","154","conference room"
"2020-02-26","18:19:30","112","conference room"
"2020-02-26","19:18:48","181","conference room"
"2020-02-26","19:22:56","156","gym"
"2020-02-26","20:22:45","171","sauna"
"2020-02-26","23:11:11","127","conference room"
"2020-02-27","13:54:02","136","gym"
"2020-02-27","13:54:04","187","gym"
"2020-02-27","14:54:21","145","conference room"
"2020-02-27","15:19:08","100","gym"
"2020-02-27","16:11:00","125","sauna"
"2020-02-27","17:08:30","121","sauna"
"2020-02-27","19:29:42","111","sauna"
"2020-02-27","22:06:17","102","conference room"
"2020-02-28","10:02:46","180","conference room"
"2020-02-28","10:11:45","144","gym"
"2020-02-28","13:33:23","123","sauna"
"2020-02-28","15:23:56","136","gym"
"2020-02-28","15:43:30","183","sauna"
"2020-02-28","17:15:01","194","gym"
"2020-02-28","18:16:28","126","sauna"
"2020-02-28","18:48:53","122","conference room"
"2020-03-01","15:12:49","117","conference room"
"2020-03-01","16:26:31","155","sauna"
"2020-03-01","19:10:52","142","sauna"
"2020-03-01","20:27:48","183","sauna"
"2020-03-01","20:45:26","100","conference room"
"2020-03-02","15:05:17","141","sauna"
"2020-03-02","16:33:28","133","sauna"
"2020-03-02","18:50:14","169","sauna"
"2020-03-02","21:30:45","111","gym"
"2020-03-03","18:45:09","166","sauna"
"2020-03-04","10:31:41","103","bar/restaurant"
"2020-03-04","11:13:54","138","bar/restaurant"
"2020-03-04","11:48:29","161","sauna"
"2020-03-04","14:51:27","126","bar/restaurant"
"2020-03-04","18:11:51","192","sauna"
"2020-03-04","19:28:44","112","bar/restaurant"
"2020-03-04","20:32:19","184","sauna"
"2020-03-05","14:18:05","116","bar/restaurant"
"2020-03-05","16:58:55","149","sauna"
"2020-03-05","19:04:49","155","bar/restaurant"
"2020-03-06","12:51:44","119","sauna"
"2020-03-06","13:25:54","136","sauna"
"2020-03-06","14:26:08","147","sauna"
"2020-03-06","14:35:10","184","sauna"
"2020-03-06","15:10:14","127","sauna"
"2020-03-06","16:00:39","180","conference room"
"2020-03-06","18:29:26","101","bar/restaurant"
"2020-03-06","22:53:48","114","sauna"
"2020-03-07","10:38:36","154","sauna"
"2020-03-07","11:12:49","160","sauna"
"2020-03-07","13:37:32","198","sauna"
"2020-03-07","14:43:19","142","sauna"
"2020-03-07","15:44:58","174","sauna"
"2020-03-07","16:23:05","123","sauna"
"2020-03-07","18:32:07","176","sauna"
"2020-03-07","19:05:51","111","conference room"
"2020-03-07","19:20:06","172","conference room"
"2020-03-08","10:42:33","179","sauna"
"2020-03-08","11:52:24","162","sauna"
"2020-03-08","11:55:05","131","sauna"
"2020-03-08","12:33:56","159","sauna"
"2020-03-08","12:42:57","111","sauna"
"2020-03-08","14:30:21","119","sauna"
"2020-03-08","16:08:17","144","bar/restaurant"
"2020-03-08","18:21:51","191","sauna"
"2020-03-08","18:52:06","168","sauna"
"2020-03-08","19:57:06","187","bar/restaurant"
"2020-03-08","19:58:10","141","bar/restaurant"
"2020-03-08","20:26:45","187","sauna"
"2020-03-08","21:17:39","175","conference room"
"2020-03-08","22:03:11","122","conference room"
"2020-03-08","22:27:54","116","sauna"
"2020-03-08","23:31:55","191","sauna"
"2020-03-09","10:11:12","180","sauna"
"2020-03-09","10:52:28","132","sauna"
"2020-03-09","11:49:32","147","gym"
"2020-03-09","12:30:32","104","gym"
"2020-03-09","12:45:33","169","conference room"
"2020-03-09","12:49:54","144","sauna"
"2020-03-09","15:52:52","146","sauna"
"2020-03-09","16:21:38","196","sauna"
"2020-03-09","16:53:50","105","gym"
"2020-03-09","18:03:56","188","sauna"
"2020-03-09","19:37:26","103","conference room"
"2020-03-09","20:36:43","119","sauna"
"2020-03-09","22:37:22","158","sauna"
"2020-03-09","23:46:23","165","sauna"
"2020-03-09","23:53:30","101","sauna"
"2020-03-10","10:20:53","111","conference room"
"2020-03-10","11:37:35","173","conference room"
"2020-03-10","11:52:21","154","sauna"
"2020-03-10","12:13:07","175","sauna"
"2020-03-10","13:06:07","197","sauna"
"2020-03-10","13:20:06","119","sauna"
"2020-03-10","13:28:32","122","conference room"
"2020-03-10","13:52:35","124","sauna"
"2020-03-10","14:15:49","195","sauna"
"2020-03-10","14:40:46","155","sauna"
"2020-03-10","15:29:16","183","sauna"
"2020-03-10","17:19:47","146","sauna"
"2020-03-10","19:02:32","156","conference room"
"2020-03-10","19:25:01","158","sauna"
"2020-03-10","19:43:06","189","conference room"
"2020-03-10","21:01:36","111","sauna"
"2020-03-10","21:31:07","121","gym"
"2020-03-10","22:30:04","180","gym"
"2020-03-10","22:44:09","178","conference room"
"2020-03-10","22:55:16","149","sauna"
"2020-03-10","23:01:56","164","sauna"
"2020-03-10","23:41:09","111","sauna"
"2020-03-11","10:14:11","184","conference room"
"2020-03-11","10:27:07","102","sauna"
"2020-03-11","11:24:28","159","gym"
"2020-03-11","11:29:21","147","bar/restaurant"
"2020-03-11","11:54:20","190","gym"
"2020-03-11","14:01:11","147","bar/restaurant"
"2020-03-11","17:02:19","129","sauna"
"2020-03-11","17:12:22","120","conference room"
"2020-03-11","17:16:53","196","conference room"
"2020-03-11","17:44:49","170","conference room"
"2020-03-11","18:44:05","128","sauna"
"2020-03-11","20:18:28","109","bar/restaurant"
"2020-03-11","21:21:35","176","gym"
"2020-03-11","21:41:53","190","conference room"
"2020-03-11","22:11:09","123","sauna"
"2020-03-11","23:34:02","118","gym"
"2020-03-12","11:22:49","165","conference room"
"2020-03-12","12:08:26","102","sauna"
"2020-03-12","13:15:18","113","sauna"
"2020-03-12","14:08:28","159","sauna"
"2020-03-12","17:41:22","162","gym"
"2020-03-12","17:50:47","117","conference room"
"2020-03-12","17:52:50","186","bar/restaurant"
"2020-03-12","19:05:14","147","conference room"
"2020-03-12","19:22:26","112","conference room"
"2020-03-12","20:03:11","134","gym"
"2020-03-12","21:13:04","132","conference room"
"2020-03-12","21:44:11","115","sauna"
"2020-03-12","22:33:15","132","conference room"
"2020-03-12","23:14:29","142","gym"
"2020-03-13","11:53:16","100","bar/restaurant"
"2020-03-13","11:55:38","160","bar/restaurant"
"2020-03-13","13:07:44","191","conference room"
"2020-03-13","13:35:53","140","conference room"
"2020-03-13","13:41:03","156","bar/restaurant"
"2020-03-13","14:44:03","199","gym"
"2020-03-13","15:19:53","187","bar/restaurant"
"2020-03-13","16:06:01","153","conference room"
"2020-03-13","16:06:43","195","bar/restaurant"
"2020-03-13","17:28:44","172","bar/restaurant"
"2020-03-13","17:28:49","168","gym"
"2020-03-13","19:24:37","117","bar/restaurant"
"2020-03-13","19:40:29","170","conference room"
"2020-03-13","19:43:58","198","gym"
"2020-03-13","22:02:55","125","conference room"
"2020-03-13","22:46:07","183","conference room"
"2020-03-13","22:53:23","134","bar/restaurant"
"2020-03-13","23:03:48","128","bar/restaurant"
"2020-03-13","23:50:12","181","bar/restaurant"
"2020-03-14","11:28:00","189","conference room"
"2020-03-14","11:39:30","176","gym"
"2020-03-14","11:40:27","194","bar/restaurant"
"2020-03-14","11:52:46","178","bar/restaurant"
"2020-03-14","12:54:09","172","bar/restaurant"
"2020-03-14","14:33:14","162","gym"
"2020-03-14","15:02:14","132","conference room"
"2020-03-14","16:31:20","130","bar/restaurant"
"2020-03-14","16:42:12","160","conference room"
